time_sec,cos_sim_adjacent
705.705000,0.888319
706.706000,0.933727
707.707000,0.783252
708.708000,0.982360
709.709000,0.971828
710.710000,0.965235
711.711000,0.975222
712.712000,0.963714
713.713000,0.980703
714.714000,0.977981
715.715000,0.962234
716.716000,0.986207
717.717000,0.823506
718.718000,0.858336
719.719000,0.959872
720.720000,0.963341
721.721000,0.978854
722.722000,0.989837
723.723000,0.974849
724.724000,0.933883
725.725000,0.930166
726.726000,0.960572
727.727000,0.961034
728.728000,0.978289
729.729000,0.983707
730.730000,0.977778
731.731000,0.963371
732.732000,0.762520
733.733000,0.884953
734.734000,0.903771
735.735000,0.632916
736.736000,0.660615
737.737000,0.924024
738.738000,0.924793
739.739000,0.795303
740.740000,0.967026
741.741000,0.973909
742.742000,0.788208
743.743000,0.678454
744.744000,0.815396
745.745000,0.755512
746.746000,0.954910
747.747000,0.772713
748.748000,0.960413
749.749000,0.960161
750.750000,0.964731
751.751000,0.958787
752.752000,0.960606
753.753000,0.960097
754.754000,0.679878
755.755000,0.941197
756.756000,0.770581
757.757000,0.859302
758.758000,0.931367
759.759000,0.802961
760.760000,0.907077
761.761000,0.892873
762.762000,0.928002
763.763000,0.906846
764.764000,0.907320
765.765000,0.645680
766.766000,0.760177
767.767000,0.636352
768.768000,0.911936
769.769000,0.938785
770.770000,0.936948
771.771000,0.954737
772.772000,0.753969
773.773000,0.927856
774.774000,0.959254
775.775000,0.946988
776.776000,0.780572
777.777000,0.935197
778.778000,0.915170
779.779000,0.909481
780.780000,0.740707
781.781000,0.985948
782.782000,0.690943
783.783000,0.880776
784.784000,0.889312
785.785000,0.652871
786.786000,0.842302
787.787000,0.977247
788.788000,0.983308
789.789000,0.953259
790.790000,0.836906
791.791000,0.953473
792.792000,0.916038
793.793000,0.875640
794.794000,0.942060
795.795000,0.898706
796.796000,0.827431
797.797000,0.869038
798.798000,0.842266
799.799000,0.806998
800.800000,0.910879
801.801000,0.816202
802.802000,0.944646
803.803000,0.967277
804.804000,0.971025
805.805000,0.772515
806.806000,0.934866
807.807000,0.893676
808.808000,0.763578
809.809000,0.973920
810.810000,0.694682
811.811000,0.790937
812.812000,0.828442
813.813000,0.976807
814.814000,0.952044
815.815000,0.826803
816.816000,0.904261
817.817000,0.759854
818.818000,0.973119
819.819000,0.523580
